Artist,Art Name,Date,Image Thumbnail,artist,cloud prediction
Asher Brown Durand,Sketch from Nature,1855,https://stor.artstor.org/stor/172961f7-a91b-4b30-941d-c3921d5efe50_size1,durand,As
Asher Brown Durand,General Andrew Jackson,1828,https://stor.artstor.org/stor/f2d3c79e-efd8-40da-a367-bcddda5ec345_size1,durand,As
Asher Brown Durand,General Andrew Jackson,1828,https://stor.artstor.org/stor/760fd4bc-1fb5-4889-9c73-4a508ae8bddc_size1,durand,As
Asher Brown Durand,Proofs of Bank of New York One Dollar Bill and Two Dollar Bill,1824,https://stor.artstor.org/stor/a546671a-98d0-43f5-853b-4de5c0ef46e2_size1,durand,Ac
Asher Brown Durand,Apollo Belvedere,1825,https://stor.artstor.org/stor/52484dde-b50e-4021-9713-f91840a24598_size1,durand,Ac
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/02728380-2d72-4f43-8188-726749c5e040_size1,durand,Ns
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/02728380-2d72-4f43-8188-726749c5e040_size1,durand,Sc
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/02728380-2d72-4f43-8188-726749c5e040_size1,durand,As
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/02728380-2d72-4f43-8188-726749c5e040_size1,durand,St
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/02728380-2d72-4f43-8188-726749c5e040_size1,durand,Cs
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/02728380-2d72-4f43-8188-726749c5e040_size1,durand,Ac
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/55d05597-1004-41db-8609-34811c3e3711_size1,durand,Ns
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/55d05597-1004-41db-8609-34811c3e3711_size1,durand,Sc
Asher Brown Durand,Sketchbook of Landscape and Figure Subjects,1796,https://stor.artstor.org/stor/55d05597-1004-41db-8609-34811c3e3711_size1,durand,As
